,num_bandeja,idx,longitud_hoja,calidad_plantin,prediccion_calidad,h_filename,v_filename,pre_eval,evaluacion_prediccion
142,2,A71,32.15,2.0,3.0,h-2024-07-04_16-30-01.153431_ll_A71_C3.jpg,v-2024-07-04_16-30-01.153431_ll_A71_C3.jpg,-1.0,0.0
143,2,A72,28.08,2.0,1.0,h-2024-07-04_16-30-15.533703_ll_A72_C1.jpg,v-2024-07-04_16-30-15.533703_ll_A72_C1.jpg,1.0,1.0
144,3,A1,16.86,2.0,3.0,h-2024-07-04_16-31-59.759265_ll_A1_C3.jpg,v-2024-07-04_16-31-59.759265_ll_A1_C3.jpg,-1.0,0.0
145,3,A2,24.06,2.0,1.0,h-2024-07-04_16-32-14.155218_ll_A2_C1.jpg,v-2024-07-04_16-32-14.155218_ll_A2_C1.jpg,1.0,1.0
146,3,A3,34.28,2.0,3.0,h-2024-07-04_16-32-19.459756_ll_A3_C3.jpg,v-2024-07-04_16-32-19.459756_ll_A3_C3.jpg,-1.0,0.0
147,3,A4,0.0,2.0,1.0,h-2024-07-04_16-32-33.846096_ll_A4_C1.jpg,v-2024-07-04_16-32-33.846096_ll_A4_C1.jpg,1.0,1.0
148,3,A5,23.62,2.0,1.0,h-2024-07-04_16-32-39.053170_ll_A5_C1.jpg,v-2024-07-04_16-32-39.053170_ll_A5_C1.jpg,1.0,1.0
149,3,A6,30.88,2.0,0.0,h-2024-07-04_16-32-44.117364_ll_A6_C0.jpg,v-2024-07-04_16-32-44.117364_ll_A6_C0.jpg,2.0,
150,3,A7,24.69,2.0,3.0,h-2024-07-04_16-32-50.556386_ll_A7_C3.jpg,v-2024-07-04_16-32-50.556386_ll_A7_C3.jpg,-1.0,0.0
151,3,A8,9.22,2.0,2.0,h-2024-07-04_16-33-04.934326_ll_A8_C2.jpg,v-2024-07-04_16-33-04.934326_ll_A8_C2.jpg,0.0,1.0
152,3,A9,0.0,2.0,1.0,h-2024-07-04_16-33-10.048392_ll_A9_C1.jpg,v-2024-07-04_16-33-10.048392_ll_A9_C1.jpg,1.0,1.0
153,3,A10,34.94,2.0,3.0,h-2024-07-04_16-33-15.165192_ll_A10_C3.jpg,v-2024-07-04_16-33-15.165192_ll_A10_C3.jpg,-1.0,0.0
154,3,A11,52.7,3.0,3.0,h-2024-07-04_16-33-29.576698_ll_A11_C3.jpg,v-2024-07-04_16-33-29.576698_ll_A11_C3.jpg,0.0,1.0
155,3,A12,0.0,2.0,1.0,h-2024-07-04_16-33-48.656909_ll_A12_C1.jpg,v-2024-07-04_16-33-48.656909_ll_A12_C1.jpg,1.0,1.0
156,3,A13,8.99,2.0,3.0,h-2024-07-04_16-33-53.872045_ll_A13_C3.jpg,v-2024-07-04_16-33-53.872045_ll_A13_C3.jpg,-1.0,0.0
157,3,A14,38.92,2.0,3.0,h-2024-07-04_16-34-08.010900_ll_A14_C3.jpg,v-2024-07-04_16-34-08.010900_ll_A14_C3.jpg,-1.0,0.0
158,3,A15,38.56,2.0,1.0,h-2024-07-04_16-34-22.453582_ll_A15_C1.jpg,v-2024-07-04_16-34-22.453582_ll_A15_C1.jpg,1.0,1.0
159,3,A16,31.74,2.0,3.0,h-2024-07-04_16-34-27.525840_ll_A16_C3.jpg,v-2024-07-04_16-34-27.525840_ll_A16_C3.jpg,-1.0,0.0
160,3,A17,12.93,2.0,1.0,h-2024-07-04_16-34-42.057336_ll_A17_C1.jpg,v-2024-07-04_16-34-42.057336_ll_A17_C1.jpg,1.0,1.0
161,3,A18,12.98,2.0,1.0,h-2024-07-04_16-34-47.265510_ll_A18_C1.jpg,v-2024-07-04_16-34-47.265510_ll_A18_C1.jpg,1.0,1.0
162,3,A19,23.26,2.0,1.0,h-2024-07-04_16-34-52.427738_ll_A19_C1.jpg,v-2024-07-04_16-34-52.427738_ll_A19_C1.jpg,1.0,1.0
